Date,AAPL,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,TMO,TXN,UNH,UPS,V,WMT,XOM
2010-01-04,6.418384075164795,18.321971893310547,31.492168426513672,37.09000015258789,9.699999809265137,6.695000171661377,1.32856285572052,12.169187545776367,42.161895751953125,18.480459213256836,15.975699424743652,41.669124603271484,27.291227340698242,15.566816329956055,19.571794509887695,13.519429206848145,40.418453216552734,28.423925399780273,17.43539810180664,60.21258544921875,23.488040924072266,23.582555770874023,40.557701110839844,,20.61231803894043,23.13006019592285,13.26636791229248,0.423806756734848,20.01703643798828,37.96263122558594,9.35495662689209,38.417030334472656,31.36625099182129,44.9834098815918,17.135921478271484,24.597444534301758,33.975341796875,19.64565658569336,12.960371971130371,37.88180160522461
2010-01-05,6.429481506347656,18.1739501953125,31.686809539794922,37.70000076293945,9.710000038146973,6.734499931335449,1.3384251594543457,12.564746856689453,42.03415298461914,18.401418685913086,15.904524803161621,41.964263916015625,27.223146438598633,15.498265266418457,19.715147018432617,13.51295280456543,39.949771881103516,28.97449493408203,17.224491119384766,59.090457916259766,23.07493019104004,23.51276206970215,40.24760055541992,,20.69585418701172,23.137529373168945,13.319149017333984,0.4299953579902649,19.99286651611328,38.42134094238281,9.221527099609375,38.42961120605469,32.12135314941406,45.13492202758789,17.037092208862305,24.558433532714844,34.033748626708984,19.42053985595703,12.831316947937012,38.02971649169922
2010-01-06,6.327209949493408,18.27487564086914,32.02366256713867,37.619998931884766,9.569999694824219,6.612500190734863,1.3489912748336792,12.712108612060547,42.58061218261719,18.369308471679688,15.800992965698242,41.96954345703125,27.078481674194336,15.107573509216309,19.646888732910156,13.467623710632324,40.27471160888672,29.133691787719727,17.218379974365234,59.61461639404297,23.245424270629883,23.478775024414062,39.69849395751953,,20.97432518005371,22.995534896850586,13.237945556640625,0.4327457845211029,19.7028865814209,38.037017822265625,9.191873550415039,38.24732208251953,31.807275772094727,45.56108474731445,16.91191864013672,24.80027961730957,33.782623291015625,19.159759521484375,12.80263900756836,38.358394622802734
2010-01-07,6.315513610839844,18.4262638092041,31.99370002746582,36.88999938964844,9.470000267028809,6.5,1.3405386209487915,13.130929946899414,42.37480163574219,18.287799835205078,15.872167587280273,41.81143569946289,27.086992263793945,14.755874633789062,19.87899398803711,13.33813190460205,39.98726272583008,29.710798263549805,17.17558479309082,59.76964569091797,23.127391815185547,23.32535171508789,39.98920440673828,,21.007736206054688,22.756385803222656,13.367866516113281,0.4242651164531708,19.63844108581543,37.79525375366211,9.157280921936035,38.03989791870117,32.729434967041016,45.56108474731445,16.964628219604492,25.752031326293945,33.525672912597656,19.33806610107422,12.809803009033203,38.23787307739258
2010-01-08,6.357498645782471,18.520463943481445,31.8664608001709,36.689998626708984,9.430000305175781,6.676000118255615,1.3504002094268799,13.014595985412598,42.069637298583984,18.31496810913086,15.956287384033203,41.885215759277344,27.129539489746094,14.952589988708496,19.78342056274414,13.487056732177734,40.124732971191406,29.63783073425293,16.85769271850586,60.16093444824219,22.950345993041992,23.3336238861084,39.9504280090332,,20.996599197387695,22.913326263427734,13.34147834777832,0.42518192529678345,19.88010025024414,37.67127227783203,9.23140811920166,37.98961639404297,33.05685806274414,46.32816696166992,17.353328704833984,25.510194778442383,35.13743591308594,19.391559600830078,12.745274543762207,38.08448791503906
2010-01-11,6.301420211791992,18.614669799804688,31.836517333984375,36.209999084472656,9.140000343322754,6.515500068664551,1.3588532209396362,13.130929946899414,42.119319915771484,18.19146728515625,15.910989761352539,42.628379821777344,26.68702507019043,14.929986000061035,19.2236328125,13.56474781036377,40.1309814453125,29.53832244873047,17.200035095214844,60.72937774658203,23.265092849731445,22.949588775634766,40.260536193847656,,21.080142974853516,22.62186622619629,13.177044868469238,0.4192226529121399,19.888151168823242,37.62788009643555,9.305536270141602,37.838768005371094,32.93656921386719,46.87743377685547,17.129337310791016,25.681814193725586,36.68495559692383,19.33582878112793,12.95559310913086,38.51179504394531
2010-01-12,6.229738235473633,18.560842514038086,31.634410858154297,35.65999984741211,8.649999618530273,6.367499828338623,1.3384251594543457,12.688838005065918,41.8922233581543,16.8675594329834,15.658639907836914,42.38064193725586,26.22749137878418,14.66596508026123,19.100759506225586,13.344603538513184,40.343448638916016,28.848472595214844,17.38649559020996,60.079742431640625,23.1864013671875,22.93673324584961,40.48018264770508,,20.913063049316406,22.472394943237305,13.158772468566895,0.4050115644931793,19.783428192138672,38.15479278564453,9.275883674621582,38.2724609375,32.40200424194336,46.100894927978516,16.411224365234375,25.003103256225586,36.4397087097168,19.24445152282715,13.079862594604492,38.32005310058594
2010-01-13,6.317612171173096,18.737062454223633,31.99370002746582,36.279998779296875,9.149999618530273,6.45550012588501,1.2975682020187378,12.890498161315918,42.15480422973633,16.919424057006836,15.943343162536621,42.059139251708984,26.627458572387695,14.581765174865723,19.20315170288086,13.571229934692383,40.599666595458984,29.352577209472656,17.43233871459961,61.1428337097168,23.507713317871094,23.53298568725586,40.434967041015625,,21.681642532348633,22.681652069091797,13.276514053344727,0.4105125665664673,19.97675323486328,38.46474838256836,9.493325233459473,38.668434143066406,32.54233169555664,46.11981964111328,16.483680725097656,25.3853702545166,36.24698257446289,19.42276382446289,13.14677906036377,38.166664123535156
2010-01-14,6.281025409698486,18.75739288330078,32.27817153930664,35.900001525878906,9.0,6.367499828338623,1.2982720136642456,13.045615196228027,41.67220687866211,17.089855194091797,16.143930435180664,41.9273796081543,26.397689819335938,14.650318145751953,19.319211959838867,13.907918930053711,40.68090057373047,29.64447021484375,17.46291160583496,59.80657196044922,23.606075286865234,23.93079376220703,40.47370910644531,,22.271984100341797,23.137529373168945,13.193282127380371,0.4040948152542114,20.452970504760742,38.92966079711914,9.577340126037598,38.70616149902344,32.321815490722656,45.85466003417969,16.27945327758789,25.993873596191406,36.322898864746094,19.48963165283203,12.95559310913086,38.172142028808594
2010-01-15,6.176055431365967,18.804838180541992,32.046104431152344,35.869998931884766,8.84000015258789,6.35699987411499,1.2848882675170898,12.611279487609863,41.72188949584961,16.951536178588867,15.788052558898926,41.75873565673828,26.0402774810791,14.405668258666992,19.503530502319336,13.467623710632324,40.343448638916016,28.97449493408203,17.20615005493164,59.76964569091797,23.488040924072266,24.130151748657227,40.23469543457031,,21.98238754272461,23.06279182434082,13.071477890014648,0.39217594265937805,20.37226104736328,38.6135139465332,9.63170051574707,38.22846221923828,32.42872619628906,45.22016906738281,16.14109992980957,26.329326629638672,36.165225982666016,19.19988441467285,12.828932762145996,37.859886169433594
2010-01-19,6.449272155761719,19.045448303222656,32.74976348876953,36.95000076293945,9.010000228881836,6.380499839782715,1.2545973062515259,12.657816886901855,41.835453033447266,17.16642189025879,16.079219818115234,41.995906829833984,26.389175415039062,14.594929695129395,19.715147018432617,13.629497528076172,40.83709716796875,28.70916175842285,17.24588394165039,59.85826110839844,24.53064727783203,24.32309341430664,41.00992202758789,,22.62285614013672,23.242158889770508,13.13644027709961,0.39951059222221375,20.444904327392578,38.63831329345703,9.883733749389648,38.794166564941406,32.95661544799805,46.375526428222656,16.286035537719727,27.405899047851562,36.35210037231445,19.581018447875977,12.91257381439209,37.947532653808594
2010-01-20,6.350003719329834,19.05899429321289,32.570125579833984,36.4900016784668,8.869999885559082,6.289000034332275,1.265163779258728,12.78966999053955,41.35288619995117,16.931774139404297,15.794517517089844,41.189483642578125,26.542360305786133,14.415851593017578,19.564966201782227,13.648921966552734,40.71215057373047,28.78877067565918,16.96466636657715,59.61461639404297,24.458513259887695,24.19814109802246,40.70627975463867,,22.85120391845703,22.861011505126953,13.028849601745605,0.39790618419647217,20.22697639465332,38.40275955200195,9.854083061218262,38.26871109008789,32.30844497680664,46.18613052368164,16.17403793334961,26.953428268432617,35.71556854248047,19.485170364379883,12.871946334838867,37.26823043823242
2010-01-21,6.240234375,18.828561782836914,32.25571823120117,35.81999969482422,8.989999771118164,6.330999851226807,1.267277479171753,11.998554229736328,40.82061767578125,16.519285202026367,15.516291618347168,40.18281936645508,26.048786163330078,14.479684829711914,19.442092895507812,13.493528366088867,39.974769592285156,26.891624450683594,16.619266510009766,58.6917839050293,23.678192138671875,23.74980926513672,40.82904052734375,,22.322107315063477,22.42755889892578,12.919224739074707,0.3908005952835083,20.041332244873047,37.77666091918945,9.508155822753906,37.88255310058594,32.13471984863281,45.239097595214844,15.930276870727539,25.82224464416504,34.862979888916016,18.823183059692383,12.647294044494629,36.53964614868164
2010-01-22,5.930727481842041,18.47272300720215,31.574514389038086,34.380001068115234,7.880000114440918,6.071499824523926,1.2369862794876099,11.556462287902832,40.501251220703125,15.941309928894043,14.862772941589355,39.313167572021484,25.512659072875977,13.660797119140625,18.92327308654785,12.891366004943848,39.49360275268555,25.976219177246094,16.57952308654785,57.76158142089844,23.29132843017578,23.134260177612305,40.951778411865234,,21.648218154907227,21.642850875854492,12.785240173339844,0.37727728486061096,19.49247932434082,37.435726165771484,9.369781494140625,38.180084228515625,31.259347915649414,44.54777908325195,15.225340843200684,25.869062423706055,34.308204650878906,18.4398136138916,12.652073860168457,36.210933685302734
